orig_address,comment_kind,port_file,port_line,comment_text_short
,ARCH-DIVERGENCE,main.c,895,[ARCH-DIVERGENCE: CRT bridge collapse] Phase 2 manifest (2026-05-21)
,ARCH-DIVERGENCE,main.c,905,"Per build_confidence_map.py:104-126 docstring, [ARCH-DIVERGENCE] is the audited, documented deviation marker - functionally"
,ARCH-DIVERGENCE,main.c,910,carries an [ARCH-DIVERGENCE: LIBC] marker so the citation- proximity check in build_confidence_map.py:227-233 promotes
0x00448443,ARCH-DIVERGENCE,main.c,914,0x00448443  sprintf_game        [ARCH-DIVERGENCE: LIBC] 0x00448495  fclose_game         [ARCH-DIVERGENCE: LIBC]
0x00448495,ARCH-DIVERGENCE,main.c,915,0x00448495  fclose_game         [ARCH-DIVERGENCE: LIBC] 0x0044867C  fopen_game          [ARCH-DIVERGENCE: LIBC]
0x0044867c,ARCH-DIVERGENCE,main.c,916,0x0044867C  fopen_game          [ARCH-DIVERGENCE: LIBC] 0x0044868F  fread_game          [ARCH-DIVERGENCE: LIBC]
0x0044868f,ARCH-DIVERGENCE,main.c,917,0x0044868F  fread_game          [ARCH-DIVERGENCE: LIBC] 0x00448D0E  ftell_game          [ARCH-DIVERGENCE: LIBC]
0x00448d0e,ARCH-DIVERGENCE,main.c,918,0x00448D0E  ftell_game          [ARCH-DIVERGENCE: LIBC] 0x00448E91  fseek_game          [ARCH-DIVERGENCE: LIBC]
0x00448e91,ARCH-DIVERGENCE,main.c,919,0x00448E91  fseek_game          [ARCH-DIVERGENCE: LIBC] 0x00449310  stricmp_game        [ARCH-DIVERGENCE: LIBC]
0x00449310,ARCH-DIVERGENCE,main.c,920,0x00449310  stricmp_game        [ARCH-DIVERGENCE: LIBC] 0x0044950D  FatalStartupExit    [ARCH-DIVERGENCE: LIBC]
0x0044950d,ARCH-DIVERGENCE,main.c,921,0x0044950D  FatalStartupExit    [ARCH-DIVERGENCE: LIBC] 0x004499D0  InitPrimaryTlsSlot  [ARCH-DIVERGENCE: LIBC]
0x004499d0,ARCH-DIVERGENCE,main.c,922,0x004499D0  InitPrimaryTlsSlot  [ARCH-DIVERGENCE: LIBC] 0x00449CCE  InitProcessHeap     [ARCH-DIVERGENCE: LIBC]
0x00449cce,ARCH-DIVERGENCE,main.c,923,0x00449CCE  InitProcessHeap     [ARCH-DIVERGENCE: LIBC]
0x00433fc0,ARCH-DIVERGENCE,td5_ai.c,359,[ARCH-DIVERGENCE @ 0x00433FC0] Orig calls AngleFromVector12 (0x0040A720) which indexes a 12-bit atan2 LUT at DAT_00463214. Port uses libm
0x0040a720,ARCH-DIVERGENCE,td5_ai.c,359,[ARCH-DIVERGENCE @ 0x00433FC0] Orig calls AngleFromVector12 (0x0040A720) which indexes a 12-bit atan2 LUT at DAT_00463214. Port uses libm
0x00403180,CONFIRMED,td5_ai.c,430,Per-slot encounter latch accessor [CONFIRMED @ 0x00403180]. Original UpdatePlayerVehicleControlState gates the encounter-control branch
0x00436a0c,CONFIRMED,td5_ai.c,780,(int)lVar7 < 0xff → return 1 [CONFIRMED @ 0x00436A0C] */ if (sample_progress < 0xFF) {
0x00436a4d,CONFIRMED,td5_ai.c,808,[CONFIRMED @ 0x00436A4D] */ if (sample_progress > 0) {
0x00434ffb,CONFIRMED,td5_ai.c,960,Route-byte → 12-bit angle: (byte * 0x102C) >> 8 [CONFIRMED @ 0x434FFB] */ route_heading = (((int32_t)route_table[(size_t)span * 3u + 1u] * 0x102C) >> 
0x004340c0,CONFIRMED,td5_ai.c,1839,[CONFIRMED @ 0x004340C0] Byte-faithful with orig UpdateActorSteeringBias. L5 audit 2026-05-18 (TD5_pool0 read-only):
0x00433c92,CONFIRMED,td5_ai.c,2207,"Bounds source [CONFIRMED @ 0x00433C92]: cardef pointer comes from g_actorRuntimeState.slot[self_slot].field_0x1b8 (SELF's cardef), NOT"
0x00433832,CONFIRMED,td5_ai.c,2363,Route-id match: rs[3] [CONFIRMED @ 0x00433832] */ if (route_state_ptr[3] != peer_rs[3]) continue;
0x00433851,CONFIRMED,td5_ai.c,2365,self.field_0x82 <= peer.field_0x82 [CONFIRMED @ 0x00433851] */ if (self_field82 > peer_field82) continue;
0x00433aa5,CONFIRMED,td5_ai.c,2504,rs[3] route-id match [CONFIRMED @ 0x00433AA5] */ if (route_state_ptr[3] != peer_rs[3]) continue;
0x00433ac7,CONFIRMED,td5_ai.c,2508,self.field_0x82 <= peer.field_0x82 [CONFIRMED @ 0x00433AC7] */ if (self_field82 > peer_field82) continue;
0x004342e0,CONFIRMED,td5_ai.c,2821,[CONFIRMED @ 0x004342E0] ======================================================================== */
0x00434327,CONFIRMED,td5_ai.c,2842,Route byte from route table at span_norm * 3 [CONFIRMED @ 0x00434327].
0x00434fe0,CONFIRMED,td5_ai.c,3422,"[CONFIRMED @ 0x00434FE0] decomp: if ((800 < uVar3) && (uVar3 < 0xce0)) — 800 is DECIMAL (= 0x320), upper is strict <."
0x00435352,CONFIRMED,td5_ai.c,3594,[CONFIRMED @ 0x435352] */ int32_t delta = actor_heading - target_angle;
0x00435392,CONFIRMED,td5_ai.c,3638,threshold != 0 → weight = 0x10000  [CONFIRMED @ 0x00435392] threshold == 0 → weight = 0x20000  [CONFIRMED @ 0x0043539F]
0x0043539f,CONFIRMED,td5_ai.c,3639,threshold == 0 → weight = 0x20000  [CONFIRMED @ 0x0043539F]
0x004353b0,CONFIRMED,td5_ai.c,3850,[CONFIRMED @ 0x004353B0] L5 promotion sweep audit (2026-05-18).
