address,name,body_size,files_cited,phase1_evidence,strong,weak
0x004011C0,RenderVehicleTaillightQuads,356,td5_render.c;td5_vfx.c;td5_vfx.h,,0,0
0x00401330,SpawnRearWheelSmokeEffects,55,td5_render.c;td5_vfx.c;td5_vfx.h,,0,0
0x004092D0,RenderVehicleActorModel,587,td5_render.c,td5_ai.c:density(3/4),0,0
0x0040AE80,InitializeRaceRenderState,53,td5_render.c;td5_render.h,,0,0
0x0040C7E0,BuildSpecialActorOverlayQuads,1000,td5_render.c;td5_render.h,,0,0
0x0040CBD0,ConfigureActorProjectionEffect,310,td5_render.c;td5_track.c,,0,1
0x00429CF0,SpawnVehicleSmokeSprite,726,td5_render.c;td5_vfx.c,,0,0
0x0042E4F0,WritePointToCurrentRenderTransform,106,td5_render.c,td5_ai.c:density(3/5),0,0
0x0042E750,BuildWorldToViewMatrix,614,td5_render.c,td5_camera.c:density(3/4),0,0
0x0042E9C0,LoadGlobalOrientationToRenderState,11,td5_render.c,main.c:density(3/5),0,0
0x00431270,RenderTrackSpanDisplayList,97,td5_render.c;td5_render.h,,0,0
0x00431340,FlushQueuedTranslucentPrimitives,283,td5_render.c;td5_render.h,,0,0
0x00431750,EmitTranslucentTriangleStrip,110,td5_render.c,,0,0
0x004329E0,FlushImmediateDrawPrimitiveBatch,193,td5_render.c;td5_render.h,,0,0
0x0043DCB0,TransformAndQueueTranslucentMesh,173,td5_render.c;td5_render.h,,0,0
0x0043E210,SetProjectionEffectState,172,td5_render.c,,0,0
0x00446A70,InitializeVehicleWheelSpriteTemplates,1071,td5_render.c,,0,0
