orig_address,port_function_name,port_signature,signature_quality_hint
0x00401000,td5_vfx_init_taillight_templates,void td5_vfx_init_taillight_templates(void),good
0x004011c0,td5_vfx_render_taillights,void td5_vfx_render_taillights(int actor_index),weak
0x00401204,render_vehicle_brake_lights,"static void render_vehicle_brake_lights(const TD5_Actor *actor, int slot)",partial
0x00401330,td5_vfx_spawn_rear_wheel_smoke,"void td5_vfx_spawn_rear_wheel_smoke(TD5_Actor *actor, int view_index)",partial
0x00401410,td5_vfx_init_smoke_sprite_pool,void td5_vfx_init_smoke_sprite_pool(void),good
0x00401450,LoadCameraPresetForView,"void LoadCameraPresetForView(int actor, int force_reload, int view, int save_state)",weak
0x00401590,UpdateChaseCamera,"void UpdateChaseCamera(int actor, int do_track_heading, int view)",weak
0x00401950,UpdateTracksideOrbitCamera,"void UpdateTracksideOrbitCamera(int actor, int is_active, int view)",weak
0x00401c20,UpdateVehicleRelativeCamera,"void UpdateVehicleRelativeCamera(int actor, int view)",weak
0x00401e10,UpdateRaceCameraTransitionState,"void UpdateRaceCameraTransitionState(int actor, int view)",weak
0x00402000,ResetRaceCameraSelectionState,void ResetRaceCameraSelectionState(int clear_or_restore),weak
0x004020b0,InitializeTracksideCameraProfiles,void InitializeTracksideCameraProfiles(void),good
0x00402200,SelectTracksideCameraProfile,"void SelectTracksideCameraProfile(int actor, int view)",weak
0x00402950,UpdateStaticTracksideCamera,"void UpdateStaticTracksideCamera(int actor, int view)",weak
0x00402a80,CacheVehicleCameraAngles,"void CacheVehicleCameraAngles(int actor, int view)",weak
0x00402ad0,UpdateSplineTracksideCamera,"void UpdateSplineTracksideCamera(int actor, int view, int spline_type)",weak
0x00402e00,CycleRaceCameraPreset,"int CycleRaceCameraPreset(int view, int delta)",weak
0x00402e30,td5_input_reset_accumulators,void td5_input_reset_accumulators(void),good
0x00402e40,td5_input_reset_buffers,void td5_input_reset_buffers(void),good
0x00402e60,td5_input_update_player_control,void td5_input_update_player_control(int slot),weak
0x00403180,td5_ai_is_encounter_active,int td5_ai_is_encounter_active(int slot),weak
0x004036b0,td5_game_update_split_screen_balance,void td5_game_update_split_screen_balance(void),good
0x00403720,td5_physics_refresh_wheel_contacts,void td5_physics_refresh_wheel_contacts(TD5_Actor *actor),good
0x00403a20,sar1_rz,static inline int32_t sar1_rz(int32_t x),weak
0x00403c80,sar8_rz_403C80,static inline int32_t sar8_rz_403C80(int32_t x),weak
0x00403d90,state0f_sar_rz,"static inline int32_t state0f_sar_rz(int32_t x, int n)",weak
0x00403eb0,mwvc_sar_rz,"static inline int32_t mwvc_sar_rz(int32_t x, int n)",weak
0x00404030,td5_physics_update_player,void td5_physics_update_player(TD5_Actor *actor),good
0x00404ec0,td5_physics_update_ai,void td5_physics_update_ai(TD5_Actor *actor),good
0x004057f0,td5_physics_update_suspension_response,void td5_physics_update_suspension_response(TD5_Actor *actor),good
0x004057fa,rotate_world_to_body_y,"static int16_t rotate_world_to_body_y(const TD5_Actor *actor, const int16_t v[3])",partial
0x00405b40,td5_physics_clamp_attitude,void td5_physics_clamp_attitude(TD5_Actor *actor),good
0x00405d70,td5_ai_update_special_encounter,void td5_ai_update_special_encounter(void),good
0x00405e80,td5_physics_integrate_pose,void td5_physics_integrate_pose(TD5_Actor *actor),good
0x00405ed8,td5_physics_wrap_angle_delta,"static inline int32_t td5_physics_wrap_angle_delta(int32_t new_angle, int32_t old_angle)",weak
0x004063a0,update_vehicle_pose_from_physics,static void update_vehicle_pose_from_physics(TD5_Actor *actor),good
0x00406650,td5_physics_update_vehicle_actor,void td5_physics_update_vehicle_actor(TD5_Actor *actor),good
0x00406881,td5_physics_run_paused_engine_step,void td5_physics_run_paused_engine_step(void),good
0x00407270,apply_simple_track_surface_force,"static void apply_simple_track_surface_force(TD5_Actor *actor,                        uint32_t edge_angle,                        int32_t pen)",partial
0x00407390,traffic_edge_pen,"static int32_t traffic_edge_pen(int32_t v0_x, int32_t v0_z,                 int32_t v1_x, int32_t v1_z,                 int32_t car_x, int32_t car_z,                 int32_t car_half_w, int32_t car_half_l,                 int32_t cos_hd, int32_t sin_hd,                 uint32_t *out_edge_angle)",weak
0x004076c0,process_traffic_forward_checkpoint_pass,"static void process_traffic_forward_checkpoint_pass(TD5_Actor *actor, int slot)",partial
0x00407840,process_traffic_route_advance,"static void process_traffic_route_advance(TD5_Actor *actor, int slot)",partial
0x004079c0,td5_physics_apply_collision_impulse,"void td5_physics_apply_collision_impulse(TD5_Actor *a, TD5_Actor *b)",good
0x00408570,obb_corner_test,"static int obb_corner_test(TD5_Actor *a, TD5_Actor *b,              int32_t pos_a_x_fp, int32_t pos_a_z_fp,              int32_t pos_b_x_fp, int32_t pos_b_z_fp,              int32_t yaw_a_acc, int32_t yaw_b_acc,              OBB_CornerData corners[8])",partial
0x00408a60,collision_detect_full,"static void collision_detect_full(TD5_Actor *a, TD5_Actor *b, int idx_a, int idx_b)",partial
0x00408f70,collision_detect_simple,"static void collision_detect_simple(TD5_Actor *a, TD5_Actor *b)",good
0x00409150,td5_physics_resolve_vehicle_contacts,void td5_physics_resolve_vehicle_contacts(void),good
0x00409e80,check_race_completion,static int check_race_completion(uint32_t sim_delta),weak
0x0040a260,UpdateCameraTransitionHudIndicator,"static void UpdateCameraTransitionHudIndicator(int view, int actor_index)",weak
0x0040a2b0,advance_pending_finish_state,"static void advance_pending_finish_state(int slot, uint32_t sim_delta)",weak
0x0040a3d0,accumulate_speed_bonus,static void accumulate_speed_bonus(int slot),weak
0x0040a440,decay_ultimate_timer,static void decay_ultimate_timer(int slot),weak
0x0040a490,tick_race_countdown,static void tick_race_countdown(void),good
0x0040a4c9,td5_game_is_replay_active,int td5_game_is_replay_active(void),good
0x0040a530,adjust_checkpoint_timers,static void adjust_checkpoint_timers(int slot),weak
0x0040a6a0,CosFloat12bit,float CosFloat12bit(unsigned int angle),weak
0x0040a6c0,SinFloat12bit,float SinFloat12bit(int angle),weak
0x0040a720,atan2_fixed12,"static int32_t atan2_fixed12(int32_t dx, int32_t dz)",weak
0x0040a880,reset_results_table,static void reset_results_table(void),good
0x0040a8c0,build_results_table,static void build_results_table(void),good
0x0040aad0,sort_results_by_time_asc,static void sort_results_by_time_asc(void),good
0x0040ab80,sort_results_by_score_desc,static void sort_results_by_score_desc(void),good
0x0040ac0f,td5_track_prepare_mesh_resource,void td5_track_prepare_mesh_resource(TD5_MeshHeader *mesh),good
0x0040ade0,td5_render_begin_scene,void td5_render_begin_scene(void),good
0x0040ae00,td5_render_end_scene,void td5_render_end_scene(void),good
0x0040ae80,td5_render_init,int td5_render_init(void),good
0x0040aec0,td5_render_shutdown,void td5_render_shutdown(void),good
0x0040af10,td5_render_load_rotation,void td5_render_load_rotation(const TD5_Mat3x3 *rot),good
0x0040af50,td5_render_set_fog,void td5_render_set_fog(int enable),weak
0x0040b070,td5_render_set_race_pass,void td5_render_set_race_pass(TD5_RaceRenderPass pass),good
0x0040b530,td5_asset_reset_texture_page_remap,static void td5_asset_reset_texture_page_remap(void),good
0x0040b590,alpha_bleed_rgb,"static void alpha_bleed_rgb(uint8_t *pixels, int w, int h)",weak
0x0040b6b0,td5_render_apply_page_blend_preset,static void td5_render_apply_page_blend_preset(int page_id),weak
0x0040ba10,td5_render_advance_texture_ages,void td5_render_advance_texture_ages(void),good
0x0040ba60,td5_render_reset_texture_cache,void td5_render_reset_texture_cache(void),good
0x0040c120,render_vehicle_reflection_overlay,"static void render_vehicle_reflection_overlay(TD5_MeshHeader *mesh, int slot)",partial
0x0040c5cc,brake_light_lookup_atlas,static void brake_light_lookup_atlas(void),good
0x0040c7e0,render_vehicle_shadow_quad,static void render_vehicle_shadow_quad(const TD5_Actor *actor),good
0x0040d590,frontend_advance_bg_gallery,static void frontend_advance_bg_gallery(void),good
0x0040ddc0,frontend_render_car_selection_preview,"static void frontend_render_car_selection_preview(float sx, float sy)",weak
0x0040dfc0,Screen_CarSelection,static void Screen_CarSelection(void),good
0x0040f8d0,config_serialize_to_buffer,static void config_serialize_to_buffer(void),good
0x0040fb60,config_deserialize_from_buffer,static void config_deserialize_from_buffer(void),good
0x0040fe00,Screen_ControllerBinding,static void Screen_ControllerBinding(void),good
0x00410ca0,ConfigureGameTypeFlags,static int ConfigureGameTypeFlags(void),good
0x00411120,cup_serialize_to_buffer,static void cup_serialize_to_buffer(void),good
