orig_address,port_file,port_line,suggested_name,suggested_type,ghidra_local_name,match_reason,match_kind
0x00436a70,td5_ai.c,5815,racer_count,int,_unmatched_,port-only-or-no-hint,UNMATCHED
0x00436a70,td5_ai.c,5918,traffic_max,int,_unmatched_,port-only-or-no-hint,UNMATCHED
0x00404030,td5_physics.c,1275,surface_center,uint8_t,local_88,decomp-semantic-match,MATCH
0x00404030,td5_physics.c,1276,surface_wheel,uint8_t,_unmatched_,port-only-or-no-hint,UNMATCHED
0x00404030,td5_physics.c,1286,grip,int32_t,_unmatched_,port-only-or-no-hint,UNMATCHED
0x00404030,td5_physics.c,1287,front_weight,int32_t,_unmatched_,port-only-or-no-hint,UNMATCHED
0x00404030,td5_physics.c,1288,rear_weight,int32_t,_unmatched_,port-only-or-no-hint,UNMATCHED
0x00404030,td5_physics.c,1289,total_weight,int32_t,_unmatched_,port-only-or-no-hint,UNMATCHED
0x00405e80,td5_physics.c,5838,t2_old_disp_roll,int16_t,_unmatched_,port-only-or-no-hint,UNMATCHED
0x00405e80,td5_physics.c,5839,t2_old_disp_pitch,int16_t,_unmatched_,port-only-or-no-hint,UNMATCHED
0x00405e80,td5_physics.c,5879,max_span,int,_unmatched_,port-only-or-no-hint,UNMATCHED
0x00405e80,td5_physics.c,5889,wdelta,int,_unmatched_,port-only-or-no-hint,UNMATCHED
0x00405e80,td5_physics.c,5947,roll_a,int32_t,_unmatched_,port-only-or-no-hint,UNMATCHED
0x00405e80,td5_physics.c,5948,yaw_a,int32_t,_unmatched_,port-only-or-no-hint,UNMATCHED
0x0042b580,td5_game.c,2466,frame_accum,uint32_t,_unmatched_,port-only-or-no-hint,UNMATCHED
0x0042b580,td5_game.c,2472,completion,int,_unmatched_,port-only-or-no-hint,UNMATCHED
0x0042b580,td5_game.c,2485,elapsed,uint32_t,_unmatched_,port-only-or-no-hint,UNMATCHED
0x0042b580,td5_game.c,2494,fade_dt_seconds,float,_unmatched_,port-only-or-no-hint,UNMATCHED
0x0042b580,td5_game.c,2519,ticks_this_frame,int,_unmatched_,port-only-or-no-hint,UNMATCHED
0x0042b580,td5_game.c,2522,max_ticks_per_frame,int,_unmatched_,port-only-or-no-hint,UNMATCHED
0x004440f0,td5_track.c,6148,span_count,int,_unmatched_,port-only-or-no-hint,UNMATCHED
0x004440f0,td5_track.c,6149,span_idx,int,_unmatched_,port-only-or-no-hint,UNMATCHED
0x004440f0,td5_track.c,6150,sub_lane,int,_unmatched_,port-only-or-no-hint,UNMATCHED
0x0042aa10,td5_game.c,1164,session_seed,uint32_t,_unmatched_,port-only-or-no-hint,UNMATCHED
0x0042aa10,td5_game.c,1229,racer_slot_count,int,_unmatched_,port-only-or-no-hint,UNMATCHED
0x0042aa10,td5_game.c,1248,decoration_start,int,_unmatched_,port-only-or-no-hint,UNMATCHED
0x0040fe00,td5_frontend.c,7842,dev_type,int,_unmatched_,port-only-or-no-hint,UNMATCHED
