address,name,body_size,level,port_citations,files_cited,callers_count,bookmark_tags,ghidra_documented,is_crt_or_lib,precision_strong,precision_weak,sample_context
00401000,InitializeVehicleTaillightQuadTemplates,436,5,8,td5_vfx.c;td5_vfx.h,1,,0,0,2,0,"[td5_vfx.c] 0x401410, |      * InitializeVehicleTaillightQuadTemplates @ 0x401000. */ |     td5_vfx_init_race_particles(); |     td5_vfx_init_smoke_sprite_pool(); |     td5_vfx_in"
004011c0,RenderVehicleTaillightQuads,356,4,8,td5_render.c;td5_vfx.c;td5_vfx.h,1,,0,0,0,0,"[td5_render.c] ctor, slot); |  |             /* Render brake light billboards (0x4011C0) */ |             render_vehicle_brake_lights(actor, slot); |  |             /* Smoke effects (0x"
00401330,SpawnRearWheelSmokeEffects,55,4,8,td5_render.c;td5_vfx.c;td5_vfx.h,1,,0,0,0,0,[td5_render.c] actor per frame. |              * SpawnRearWheelSmokeEffects (0x401330) — burnout hardpoint smoke |              * SpawnVehicleSmokeSprite (0x429CF0) — general exha
00401370,SpawnRandomVehicleSmokePuff,159,3,0,,1,,0,0,0,0,
00401410,InitializeRaceSmokeSpritePool,56,4,6,td5_vfx.c;td5_vfx.h,1,,0,0,0,0,"[td5_vfx.c] leSystem @ 0x429510, |      * InitializeRaceSmokeSpritePool @ 0x401410, |      * InitializeVehicleTaillightQuadTemplates @ 0x401000. */ |     td5_vfx_init_race_partic"
00401450,LoadCameraPresetForView,305,5,18,td5_camera.c;td5_camera.h;td5_game.c;td5_input.c,3,,0,0,2,0,[td5_camera.c] ======================================================== |  * 0x401450 -- LoadCameraPresetForView |  * |  * Reads preset data from the camera preset table and populat
00401590,UpdateChaseCamera,957,5,19,td5_camera.c;td5_camera.h;td5_game.c,1,HOOK_POINT,1,0,4,0,[td5_camera.c] t (with documented |  *  ARCH-DIVERGENCEs)] |  *   Decompile of 0x00401590 verified semantically: |  *     - Fly-in counter behaviour (ramp/decrement around g_flyInTh
00401950,UpdateTracksideOrbitCamera,708,4,13,td5_camera.c;td5_camera.h,2,,0,0,0,0,"[td5_camera.c] ======================================================== |  * 0x401950 -- UpdateTracksideOrbitCamera |  * |  * Orbiting camera around a vehicle, used for trackside re"
00401c20,UpdateVehicleRelativeCamera,494,5,14,td5_camera.c;td5_camera.h;td5_game.c,2,,0,0,4,0,[td5_camera.c] sweep audit 2026-05-18 — byte-equivalent] |  *   Decompile of 0x00401C20 verified line-by-line: |  *     - First angle target  = display_angles.roll  + 0x800   (+0x
00401e10,UpdateRaceCameraTransitionState,482,4,11,td5_camera.c;td5_camera.h,1,,0,0,0,0,"[td5_camera.c] 0, 400,  1600, 310, 0, 0 },  /* preset 10: fly-in level>=3 (0x401E10) */ |     { 0, 2000, 1400, 110, 0, 0 },  /* preset 11: fly-in level 2  (high elevation side s"
00402000,ResetRaceCameraSelectionState,168,5,17,td5_camera.c;td5_camera.h;td5_game.c,1,,0,0,8,0,[td5_camera.c] camera preset selection for both views. |  * |  * [CONFIRMED @ 0x00402000 ResetRaceCameraSelectionState; L5 promotion sweep |  *  audit 2026-05-18] -- Byte-faithful
004020b0,InitializeTracksideCameraProfiles,322,4,7,td5_camera.c;td5_camera.h,1,,0,0,0,0,"[td5_camera.c] ======================================================== |  * 0x4020B0 -- InitializeTracksideCameraProfiles |  * |  * Counts valid profiles, seeds initial camera posi"
00402200,SelectTracksideCameraProfile,585,4,7,td5_camera.c;td5_camera.h,1,,0,0,0,0,[td5_camera.c] ======================================================== |  * 0x402200 -- SelectTracksideCameraProfile |  * |  * Checks if the followed vehicle's track span falls wit
00402480,UpdateTracksideCamera,1182,4,9,td5_camera.c;td5_camera.h,1,,0,0,0,0,[td5_camera.c] ======================================================== |  * 0x402480 -- UpdateTracksideCamera |  * |  * Master dispatcher for all 11 trackside camera behavior types
00402950,UpdateStaticTracksideCamera,294,4,8,td5_camera.c;td5_camera.h,1,,0,0,0,0,"[td5_camera.c] ======================================================== |  * 0x402950 -- UpdateStaticTracksideCamera |  * |  * Fixed camera position from track geometry, with look-a"
00402a80,CacheVehicleCameraAngles,65,4,11,td5_camera.c;td5_camera.h,1,HOOK_POINT,1,0,0,0,[td5_camera.c] ======================================================== |  * 0x402A80 -- CacheVehicleCameraAngles |  * |  * Snapshots the vehicle's current orientation into per-view
00402ad0,UpdateSplineTracksideCamera,813,4,8,td5_camera.c;td5_camera.h,1,,0,0,0,0,"[td5_camera.c] ======================================================== |  * 0x402AD0 -- UpdateSplineTracksideCamera |  * |  * Evaluates a cubic spline camera path, adjusts projecti"
00402e00,CycleRaceCameraPreset,32,4,10,td5_camera.c;td5_camera.h;td5_input.c,1,,0,0,0,0,"[td5_camera.c] ======================================================== |  * 0x402E00 -- CycleRaceCameraPreset |  * |  * Advances the camera preset index by delta, wrapping modulo 7"
00402e30,ResetPlayerVehicleControlAccumulators,13,4,5,td5_input.c;td5_input.h,1,,0,0,0,0,[td5_input.c] ================ |  * ResetPlayerVehicleControlAccumulators  (0x402E30) |  * |  * Zeroes the NOS latch accumulators for all players. |  * Original: _DAT_00483014 = 0; _
00402e40,ResetPlayerVehicleControlBuffers,16,4,5,td5_input.c;td5_input.h,1,,0,0,0,0,[td5_input.c] ===================== |  * ResetPlayerVehicleControlBuffers  (0x402E40) |  * |  * Zeroes the gear-change debounce counters for all 6 slots. |  * Original: memset(DAT_00
00402e60,UpdatePlayerVehicleControlState,2126,5,13,td5_ai.c;td5_game.c;td5_input.c;td5_input.h;td5_physics.c,1,HOOK_POINT,1,0,2,0,[td5_ai.c] ounter latch accessor [CONFIRMED @ 0x00403180]. |  * Original UpdatePlayerVehicleControlState gates the encounter-control branch |  * on a per-slot field at gActorS
004036b0,UpdatePlayerSteeringWeightBalance,101,5,2,td5_game.c;td5_game.h,1,HOOK_POINT,1,0,2,0,[td5_game.c] ========================= |  * Split-Screen Steering Balance (0x4036B0) |  * |  * Simple rubber-banding for split-screen mode: the player who is behind |  * gets a stee
00403720,RefreshVehicleWheelContactFrames,766,5,47,td5_physics.c;td5_physics.h;td5_pilot_trace.h;td5_track.c,2,,0,0,2,0,"[td5_physics.c] lude ""td5_pilot_trace.h"" /* precise-port pilot CSV emit for 0x00403720 */ | #include ""td5_pilot_trace_00405B40.h"" /* precise-port pilot CSV emit for 0x00405B40 */"
