address,name,body_size,files_cited,phase1_evidence,strong,weak
0x0040D590,LoadExtrasGalleryImageSurfaces,168,td5_frontend.c,,0,0
0x0040D750,AdvanceExtrasGallerySlideshow,222,td5_frontend.c,,0,0
0x0040D830,UpdateExtrasGalleryDisplay,652,td5_frontend.c,,0,0
0x00413010,DrawPostRaceHighScoreEntry,1368,td5_frontend.c,td5_frontend.c:density(5/6),0,0
0x00413580,ScreenPostRaceHighScoreTable,1549,td5_frontend.c;td5_frontend.h,,0,0
0x00415030,ScreenPositionerDebugTool,795,td5_frontend.c;td5_frontend.h,,0,0
0x00415370,ScreenStartupInit,258,td5_frontend.c;td5_frontend.h,,0,0
0x004168B0,RaceTypeCategoryMenuStateMachine,5149,td5_frontend.c;td5_frontend.h,,0,0
0x00417DD2,LoadFrontendExtrasGalleryResources,684,td5_frontend.c,td5_frontend.c:load_frontend,0,0
0x00418460,ScreenMusicTestExtras,2002,td5_frontend.c;td5_frontend.h,,0,0
0x00418D50,RunFrontendConnectionBrowser,3500,td5_frontend.c;td5_frontend.h,,0,0
0x0041A7B0,RunFrontendCreateSessionFlow,2939,td5_frontend.c;td5_frontend.h,,0,0
0x0041EA90,ScreenSoundOptions,3794,td5_frontend.c;td5_frontend.h,,0,0
0x004213D0,ScreenQuickRaceMenu,2470,td5_frontend.c;td5_frontend.h,,0,0
0x004242B0,DrawFrontendLocalizedStringPrimary,221,td5_frontend.c,td5_frontend.c:density(4/5),0,0
0x00424740,DrawFrontendClippedStringToSurface,334,td5_frontend.c,td5_frontend_button_cache.c:density(4/5),0,0
0x004248E0,DrawFrontendWrappedStringLine,356,td5_frontend.c,td5_frontend.c:density(3/5),0,0
0x00424A50,MeasureOrCenterFrontendLocalizedString,149,td5_frontend.c,td5_frontend.c:density(3/5),0,0
0x00424B30,CopyPrimaryFrontendBufferToSecondary,64,td5_frontend.c,,0,0
0x00424BC0,CopyPrimaryFrontendRectToSecondary,74,td5_frontend.c,td5_frontend.c:density(3/5),0,0
0x00427290,ScreenLanguageSelect,495,td5_frontend.c;td5_frontend.h,,0,0
0x00427630,TrackSelectionScreenStateMachine,3043,td5_frontend.c;td5_frontend.h,,0,0
